dataset_seed,dataset,arm,ansatz_level,dilution,seed,lr,val_accuracy,test_accuracy,best_epoch,epochs_run,theta_displacement,wall_seconds,run_id
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h4,3,0.1,0.76,0.77,19,49,0.0,7.925427375012077,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h2,2,0.1,0.8283333333333334,0.825,72,102,1.709591031074524,877.9659726669779,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h2,2,0.1,0.695,0.6691666666666667,16,46,0.0,7.721681708993856,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h4,1,0.1,0.8933333333333333,0.9066666666666666,51,81,1.6809533834457397,695.929067582998,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h4,1,0.1,0.7566666666666667,0.7525,20,50,0.0,7.614859332970809,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h42,2,0.1,0.945,0.9516666666666667,30,60,1.2501119375228882,519.633413417032,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h42,2,0.1,0.7633333333333333,0.7608333333333334,128,158,0.0,8.75651195901446,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h42,1,0.1,0.9466666666666667,0.9525,37,67,1.1316279172897339,576.8403038330143,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h42,1,0.1,0.8833333333333333,0.9016666666666666,69,99,0.0,8.197628709021956,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h42,1,0.1,0.9316666666666666,0.945,19,49,0.938016414642334,426.0352263340028,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h42,1,0.1,0.77,0.7525,33,63,0.0,7.906539166986477,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h4,2,0.1,0.8166666666666667,0.8091666666666667,57,87,1.2926018238067627,749.6639934169943,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h4,2,0.1,0.6933333333333334,0.6741666666666667,23,53,0.0,7.743552416970488,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h4,2,0.1,0.8766666666666667,0.87,99,129,1.7213910818099976,1105.487876833009,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h4,2,0.1,0.715,0.7208333333333333,75,105,0.0,8.44565370795317,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h42,3,0.1,0.9566666666666667,0.955,59,89,1.466434121131897,773.5545004580054,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h42,3,0.1,0.6983333333333334,0.6866666666666666,61,91,0.0,8.790549792000093,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,linear,2,0.1,0.815,0.8208333333333333,1,31,0.9562199115753174,283.5576428750064,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,linear,2,0.1,0.6366666666666667,0.625,74,104,0.0,8.27124641701812,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h42,2,0.1,0.8166666666666667,0.8183333333333334,57,87,1.2445873022079468,765.1211165840505,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h42,2,0.1,0.695,0.6525,2,32,0.0,8.186936416022945,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,linear,1,0.1,0.8283333333333334,0.8241666666666667,30,60,1.339678168296814,535.6569504169747,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,linear,1,0.1,0.8033333333333333,0.7966666666666666,43,73,0.0,8.162080334033817,d21_20260822T070952Z
