status,estimand,exploratory,generator_seed,dilution,ansatz,cell_lr,n,mean,ci95_low,ci95_high,ci90_low,ci90_high,sigma_delta,sigma_ci95_low,sigma_ci95_high,mde_this_series,mde_constant,above_mde,ci95_excludes_zero,p_sign_exact,p_wilcoxon_exact,p_t,n_positive,n_negative,in_sigma_seed_left,in_sigma_seed_right,in_sigma_delta,in_ceiling,ceiling_used,unpaired_left,unpaired_right
PROVISIONAL — NOT A RESULT,delta_AB,no,all present in the CSV,linear,L1,"{""11"": 0.03}",2,0.11374999999999996,-0.47391196904807903,0.7014119690480789,-0.17826100755372015,0.4057610075537201,0.06540737725975558,0.02918144805224126,2.087159831001077,0.6513196328698707,9.957892521561483,no,no,0.5,0.5,0.2458481645485919,2,0,,1.7391004618371857,1.7391004618371857,0.5345953002610963,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_AE,no,all present in the CSV,linear,L1,"{""11"": 0.03}",2,0.06166666666666659,0.029901154826229827,0.09343217850710336,0.045882287879978986,0.0774510454533542,0.0035355339059327407,0.0015773755703914222,0.11281945032438274,0.0352064666416147,9.957892521561483,yes,yes,0.5,0.5,0.025794784331474713,2,0,,17.441967269268137,17.441967269268137,0.2898172323759787,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_AF,no,all present in the CSV,linear,L1,"{""11"": 0.03}",2,0.013749999999999984,-0.0021327559202187485,0.029632755920218717,0.005857810606656006,0.02164218939334396,0.0017677669529664096,0.0007886877851957287,0.05640972516219262,0.01760323332080774,9.957892521561483,no,no,0.5,0.5,0.05771587675261035,2,0,,7.778174593051834,7.778174593051834,0.06462140992167092,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_BD_best,yes,all present in the CSV,linear,L1,"{""11"": 0.03}",2,-0.10625000000000001,-0.7045004729948916,0.4920004729948915,-0.40352246714928286,0.19102246714928284,0.0665858885617332,0.029707239909038414,2.124766314442539,0.6630551217504093,9.957892521561483,no,no,0.5,0.5,0.26555462501703947,0,2,-1.6244344973204488,,-1.5956834442705283,-0.4993472584856396,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_BD_matched,yes,all present in the CSV,linear,L1,"{""11"": 0.03}",2,-0.010000000000000009,-0.9841423631067265,0.9641423631067265,-0.4940542827917528,0.47405428279175277,0.10842303978193728,0.048372850825336905,3.4597964766144007,1.0796649770095164,9.957892521561483,no,no,1.0,1.0,0.9174288003203057,1,1,-0.15288795268898353,-0.23247346230790594,-0.09223131928520194,-0.046997389033942585,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_AB,no,all present in the CSV,linear,L2,"{""11"": 0.01}",2,0.1404166666666667,-0.1931212076579183,0.47395454099125167,-0.025319310593552635,0.306152643926886,0.03712310601229366,0.01656244348910988,1.1846042284060152,0.3696678997369532,9.957892521561483,no,no,0.5,0.5,0.11765396240068063,2,0,15.886332350657685,3.055063913588035,3.7824600834899536,0.6599216710182767,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_AE,no,all present in the CSV,linear,L2,"{""11"": 0.01}",2,0.05458333333333332,-0.05659595810819569,0.1657626247748623,-0.0006619924200734692,0.10982865908674011,0.012374368670764632,0.005520814496369995,0.39486807613534086,0.12322263324565183,9.957892521561483,no,no,0.5,0.5,0.10119260346949384,2,0,6.175399222362481,15.438498055906269,4.410999444544634,0.256527415143603,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_AF,no,all present in the CSV,linear,L2,"{""11"": 0.01}",2,0.011249999999999982,-0.08934078749471655,0.11184078749471651,-0.03873386615784416,0.061233866157844125,0.011195857368787025,0.004995022639572843,0.3572615926938791,0.11148714436511334,9.957892521561483,no,no,0.5,0.5,0.39037992285461925,2,0,1.2727922061357768,4.772970773009237,1.0048359522124586,0.05287206266318528,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_BD_best,yes,all present in the CSV,linear,L2,"{""11"": 0.01}",2,-0.14,-0.5635401578724897,0.2835401578724897,-0.35045838382250116,0.07045838382250116,0.04714045207910316,0.021031674271885608,1.504259337658435,0.46941955522152884,9.957892521561483,no,no,0.5,0.5,0.1488055305972344,0,2,-3.0459984420343615,,-2.9698484809835004,-0.6579634464751957,0.21277777777777784,0,0
PROVISIONAL — NOT A RESULT,delta_BD_matched,yes,all present in the CSV,linear,L2,"{""11"": 0.01}",2,-0.04125000000000001,-0.8300935440375115,0.7475935440375114,-0.43322873986940813,0.3507287398694081,0.08779909199732956,0.03917149333138691,2.8016830163888327,0.8742939216000967,9.957892521561483,no,no,1.0,1.0,0.6266529229861989,1,1,-0.8974816838136959,-0.9859657934854692,-0.4698226264259617,-0.19386422976501302,0.21277777777777784,0,0
