source,dataset_seed,arm,ansatz,dilution,seed,n_params,norm_over_sqrt_P,mean_abs,median_abs,max_abs,K_gt_0.01,K_gt_0.05,K_gt_0.1,K_gt_0.2,K_gt_0.5,K_gt_1.0
h3_probe,11,A,L1,h3,10,35,0.5100015882970393,0.35981757209769316,0.21474337577819824,1.5575305223464966,35,29,26,18,10,3
h3_probe,11,A,L1,h3,1,35,0.7586126972122649,0.5637428277305194,0.48708438873291016,2.5420069694519043,35,32,31,26,17,4
h3_probe,11,A,L1,h3,2,35,0.6134032463215602,0.5131176708000047,0.4156670570373535,1.3736491352319717,35,34,31,27,16,3
h3_probe,11,A,L1,h3,3,35,0.6915567257232378,0.5149046535869795,0.32918596267700195,1.7420217990875244,35,34,32,23,12,8
h3_probe,11,A,L1,h3,4,35,0.7337349245961671,0.49473934564739463,0.40177392959594727,2.8444457054138184,35,33,26,22,15,4
h3_probe,11,A,L1,h3,5,35,0.7908675116533386,0.5745314657688141,0.37686455249786377,2.04580020904541,34,33,30,25,15,6
h3_probe,11,A,L1,h3,6,35,0.8880253510483628,0.6756913188312735,0.5998845100402832,2.8459248542785645,35,34,31,29,19,8
h3_probe,11,A,L1,h3,7,35,0.6720256348788456,0.5366515337356499,0.41752004623413086,1.9047660827636719,35,34,32,30,13,5
h3_probe,11,A,L1,h3,8,35,0.8039919691747852,0.644836187256234,0.5342292785644531,2.371042251586914,35,33,31,29,20,7
h3_probe,11,A,L1,h3,9,35,0.333731262331614,0.27607675194740294,0.23293685913085938,0.6784922480583191,35,32,29,19,7,0
h3_probe,11,A,L2,h3,10,35,0.9031824653694217,0.6815227483000074,0.43618059158325195,2.3022289276123047,34,34,32,26,16,10
h3_probe,11,A,L2,h3,1,35,1.0285021741379765,0.80348313120859,0.6166117191314697,2.9102976322174072,34,32,32,32,22,12
h3_probe,11,A,L2,h3,2,35,1.1315013854403368,0.8918426860855626,0.654639482498169,3.072942018508911,35,35,34,32,25,9
h3_probe,11,A,L2,h3,3,35,0.7131503468023382,0.5272013063675591,0.36330628395080566,1.7447494715452194,33,31,27,22,16,5
h3_probe,11,A,L2,h3,4,35,0.9298925655576616,0.7232927776873112,0.6156115531921387,2.484403446316719,35,34,32,26,21,8
h3_probe,11,A,L2,h3,5,35,0.7696999070154948,0.5891316144594124,0.43244822323322296,2.2099233865737915,35,33,31,27,16,6
h3_probe,11,A,L2,h3,6,35,1.0214018744669244,0.7569677694567613,0.44575899839401245,2.760768413543701,35,32,30,29,17,11
h3_probe,11,A,L2,h3,7,35,0.8297468165313813,0.6941577151417733,0.5524067878723145,1.717418909072876,35,34,34,32,19,11
