arm,status,n,mean,sd,sigma_ci95_low,sigma_ci95_high,min,max
A_corr,EXPLORATORY,10,0.8254166666666667,0.008270597183866349,0.005688807923902404,0.015098886434384118,0.8058333333333333,0.835
B_corr,EXPLORATORY,10,0.7804166666666668,0.02011636671659531,0.013836745259548032,0.036724643913114245,0.7491666666666666,0.8133333333333334
D_corr,EXPLORATORY,10,0.7921666666666666,0.01119551276953582,0.007700667840494737,0.020438642110592507,0.7766666666666666,0.8133333333333334
