estimand,status,n,estimate,ci95_low,ci95_high,sigma_delta,mde,above_mde,ci95_excludes_zero,n_positive,p_sign,p_wilcoxon,tost_equivalent,tost_power
Delta_A'B',EXPLORATORY,30,0.04616666666666666,0.03915349176127331,0.053179841572060016,0.0187212055993905,0.009936041545109959,True,True,29,5.774199962615967e-08,3.725290298461914e-09,False,0.9999517906273071
Delta_B'D_corr,EXPLORATORY,30,-0.01941666666666667,-0.027482815068642717,-0.011350518264690622,0.02153204856083921,0.011427860663994243,True,True,5,0.00032491423189640045,0.0001015644520521164,False,0.999098909078525
Delta_A'D_corr,EXPLORATORY,30,0.02675,0.021205093915651077,0.03229490608434892,0.014801759293722494,0.007855845314146449,True,True,29,5.774199962615967e-08,5.587935447692871e-09,False,0.9999999750180687
