arm,status,n,mean,sd,sigma_ci95_low,sigma_ci95_high,min,max
A_corr,EXPLORATORY,30,0.826111111111111,0.008000039910500701,0.006371287247100532,0.010754575086215478,0.8041666666666667,0.8458333333333333
B_corr,EXPLORATORY,30,0.7799444444444444,0.01947457982240591,0.0155096903832034,0.02617997326458999,0.7391666666666666,0.8175
D_corr,EXPLORATORY,30,0.799361111111111,0.013520035036266165,0.010767449634076103,0.018175188323115272,0.7658333333333334,0.8216666666666667
