status,estimand,dilution,ansatz,level,generator_seed,n,mean,ci95_low,ci95_high,p_sign_exact,sigma,df,ceiling,in_ceiling,diverges_from_pooled,divergence_rule
complete contract grid,delta_AB,h42,L1,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,0.15238888888888885,0.1305437831029957,0.174233994674782,1.862645149230957e-09,0.05831406207246197,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,h42,L2,per dataset,11,10,0.17625000000000002,0.16028316449626673,0.1922168355037333,0.001953125,0.022320096962044383,9,0.21277777777777784,0.8283289817232374,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,h42,L2,per dataset,22,10,0.1866666666666667,0.1319026115983164,0.241430721735017,0.001953125,0.07655487017916073,9,0.1805555555555557,1.0338461538461532,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,h42,L2,per dataset,33,10,0.15208333333333335,0.10831990973009128,0.1958467569365754,0.001953125,0.06117704776171785,9,0.1677777777777778,0.9064569536423841,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,h42,L2,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,0.17166666666666672,0.14992902455525348,0.19340430877807996,1.862645149230957e-09,0.05802719491578273,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,linear,L1,per dataset,11,10,0.09191666666666663,0.0569616751300355,0.12687165820329777,0.001953125,0.048863708793306274,9,0.21277777777777784,0.43198433420365506,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,linear,L1,per dataset,22,10,0.06816666666666667,0.030515609458109327,0.105817723875224,0.001953125,0.052632548724009014,9,0.1805555555555557,0.37753846153846127,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,linear,L1,per dataset,33,10,0.10491666666666669,0.08214122957773856,0.1276921037555948,0.001953125,0.03183786568471613,9,0.1677777777777778,0.6253311258278146,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,linear,L1,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,0.08833333333333333,0.07134246837966914,0.10532419828699753,1.862645149230957e-09,0.04535598789421394,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,linear,L2,per dataset,11,10,0.09050000000000001,0.062115438610194994,0.11888456138980502,0.001953125,0.03967888078369794,9,0.21277777777777784,0.42532637075718005,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,linear,L2,per dataset,22,10,0.12233333333333334,0.06487424452800711,0.17979242213865956,0.001953125,0.08032226756427302,9,0.1805555555555557,0.6775384615384611,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,linear,L2,per dataset,33,10,0.12375,0.07592043829803727,0.17157956170196273,0.001953125,0.06686111688131814,9,0.1677777777777778,0.7375827814569536,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AB,linear,L2,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,0.11219444444444444,0.08801678594501083,0.13637210294387805,1.862645149230957e-09,0.0645406569472062,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h2,L1,per dataset,11,10,-0.015583333333333315,-0.09501478318070077,0.06384811651403415,0.0703125,0.11103751034539504,9,0.21277777777777784,-0.07323759791122705,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h2,L1,per dataset,22,10,-0.10216666666666667,-0.22741536345711066,0.02308203012377731,0.5078125,0.17508560516445226,9,0.1805555555555557,-0.5658461538461534,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h2,L1,per dataset,33,10,0.021250000000000012,0.0026066784446770117,0.03989332155532301,0.0078125,0.02606156647083173,9,0.1677777777777778,0.1266556291390729,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h2,L1,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,-0.032166666666666656,-0.07736053519770615,0.01302720186437284,0.043285250663757324,0.1206420367401288,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h2,L2,per dataset,11,10,0.021166666666666677,-0.09263419308406814,0.1349675264174015,0.0390625,0.1590826324606721,9,0.21277777777777784,0.09947780678851177,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h2,L2,per dataset,22,10,-0.026666666666666672,-0.1644068454678118,0.11107351213447847,0.34375,0.1925474929388514,9,0.1805555555555557,-0.14769230769230762,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h2,L2,per dataset,33,10,-0.022166666666666678,-0.16919431417163638,0.12486098083830303,0.5078125,0.20553047895087917,9,0.1677777777777778,-0.1321192052980133,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h2,L2,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,-0.009222222222222224,-0.07918018156616681,0.06073573712172236,0.012540951371192932,0.1867481358813095,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h4,L1,per dataset,11,10,-0.03575000000000002,-0.06986855599632072,-0.0016314440036793165,0.109375,0.047694452533487995,9,0.21277777777777784,-0.1680156657963447,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h4,L1,per dataset,22,10,0.020833333333333304,-0.0020985529055438518,0.04376521957221046,0.109375,0.03205656651592813,9,0.1805555555555557,0.11538461538461514,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h4,L1,per dataset,33,10,0.025750000000000006,0.012102641253699316,0.039397358746300695,0.001953125,0.01907769203371658,9,0.1677777777777778,0.153476821192053,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h4,L1,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,0.0036111111111110975,-0.009484831162366371,0.016707053384588565,0.09873714670538902,0.03495874994233726,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h4,L2,per dataset,11,10,-0.06058333333333334,-0.10106373796712326,-0.020102928699543422,0.021484375,0.05658770369856461,9,0.21277777777777784,-0.28472584856396865,YES,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h4,L2,per dataset,22,10,0.02483333333333332,0.005174471086395908,0.04449219558027073,0.109375,0.02748119446790324,9,0.1805555555555557,0.13753846153846136,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h4,L2,per dataset,33,10,0.03016666666666664,0.012538928034810274,0.04779440529852301,0.001953125,0.024641879437701613,9,0.1677777777777778,0.17980132450331107,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h4,L2,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,-0.0018611111111111283,-0.016473522860399565,0.01275130063817731,0.20048842206597328,0.039006864701320976,27,per generator seed — see the rows above,per generator seed — see the rows above,DIVERGENCE: [11],"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h42,L1,per dataset,11,10,-0.01983333333333336,-0.03072729554281501,-0.008939371123851706,0.021484375,0.0152287090801195,9,0.21277777777777784,-0.09321148825065283,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h42,L1,per dataset,22,10,-0.01541666666666668,-0.022664825684923125,-0.008168507648410235,0.001953125,0.0101322276443553,9,0.1805555555555557,-0.08538461538461539,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h42,L1,per dataset,33,10,-0.026833333333333365,-0.043866407054932534,-0.009800259611734197,0.109375,0.023810595213989115,9,0.1677777777777778,-0.15993377483443724,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
