status,estimand,exploratory,generator_seed,dilution,ansatz,cell_lr,n,mean,ci95_low,ci95_high,ci90_low,ci90_high,sigma_delta,sigma_ci95_low,sigma_ci95_high,mde_this_series,mde_constant,above_mde,ci95_excludes_zero,p_sign_exact,p_wilcoxon_exact,p_t,n_positive,n_negative,in_sigma_seed_left,in_sigma_seed_right,in_sigma_delta,in_ceiling,ceiling_used,in_ceiling_by_seed,ceiling_by_seed,unpaired_left,unpaired_right
complete contract grid,delta_AB,no,all present in the CSV,h2,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.03277777777777778,-0.012754100818031341,0.0783096563735869,-0.005019653394705455,0.07057520895026101,0.1215443322058171,0.09609533679085926,0.16543843327849567,0.0645081070211078,0.5307372696891616,no,no,0.0002771615982055664,0.019095301628112793,0.15619612979265807,21,3,0.1986005647289551,0.27795682645232933,0.2696775504288717,,,"{""11"": 0.149608, ""22"": -0.070154, ""33"": 0.471854}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AE,no,all present in the CSV,h2,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,-0.032166666666666656,-0.07736053519770615,0.01302720186437284,-0.06968350515216348,0.005350171818830178,0.1206420367401288,0.09538196427001347,0.1642102859392599,0.06402922518919547,0.5307372696891616,no,no,0.043285250663757324,0.16242796182632446,0.1783865472683267,18,7,-0.19489784233570331,-0.24641022302007043,-0.2666290087256721,,,"{""11"": -0.073238, ""22"": -0.565846, ""33"": 0.126656}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AF,no,all present in the CSV,h2,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.021583333333333343,-0.05005138524049929,0.09321805190716598,-0.037882878656080615,0.0810495453227473,0.1912241335153153,0.15118555657188432,0.26028215779112696,0.10148977452059414,0.5307372696891616,no,no,0.10775214433670044,0.07893145084381104,0.5349373093473649,17,8,0.1307734227071171,0.13222905469849647,0.11286929602745312,,,"{""11"": -0.142167, ""22"": 0.249231, ""33"": 0.298013}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_BD_best,yes,all present in the CSV,h2,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,-0.13733333333333334,-0.18239923686339654,-0.09226742980327013,-0.17474394408419563,-0.09992272258247104,0.12030044265112916,0.09511189327260486,0.16374532973870584,0.06384792847505784,0.5307372696891616,yes,yes,1.862645149230957e-09,1.862645149230957e-09,4.347996248099828e-07,0,30,-1.1645919915087424,,-1.1415862677380124,,,"{""11"": -0.63094, ""22"": -0.747692, ""33"": -0.850828}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_BD_matched,yes,all present in the CSV,h2,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.0029166666666666672,-0.04530343516273031,0.05113676849606364,-0.037112342375682006,0.042945675709015335,0.12872036596113579,0.10176885005161927,0.17520599512270565,0.0683166955836029,0.5307372696891616,no,no,0.0241195447742939,0.29657962173223495,0.898638885360907,21,8,0.02473344642160558,0.0413138498729923,0.02265893702902685,,,"{""11"": 0.023107, ""22"": 0.045231, ""33"": -0.025828}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AB,no,all present in the CSV,h2,L2,"{""11"": 0.03, ""22"": 0.01, ""33"": 0.01}",30,0.09202777777777778,0.05019362592548381,0.13386192963007174,0.05729994479436484,0.1267556107611907,0.11167349573737613,0.08829125956547192,0.15200287696047793,0.059269286224299236,0.5307372696891616,yes,yes,2.9802322387695312e-06,6.115436553955078e-05,0.00011113251460883479,23,1,0.5938621667092465,0.7685537410609057,0.8240789559789602,,,"{""11"": 0.358355, ""22"": 0.763385, ""33"": 0.369536}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AE,no,all present in the CSV,h2,L2,"{""11"": 0.03, ""22"": 0.01, ""33"": 0.01}",30,-0.009222222222222224,-0.07918018156616681,0.06073573712172236,-0.06729650412794418,0.048852059683499725,0.1867481358813095,0.14764674491107788,0.25418971380390554,0.09911419575718675,0.5307372696891616,no,no,0.012540951371192932,0.10291627049446106,0.7827813418772093,21,7,-0.05951169313234828,-0.07064610884513249,-0.04938320898733651,,,"{""11"": 0.099478, ""22"": -0.147692, ""33"": -0.132119}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AF,no,all present in the CSV,h2,L2,"{""11"": 0.03, ""22"": 0.01, ""33"": 0.01}",30,0.022611111111111106,-0.049794767248352564,0.09501698947057478,-0.03749526464530058,0.0827174868675228,0.1932826934530802,0.15281309449926964,0.26308413896732036,0.10258232900145496,0.5307372696891616,no,no,0.0191572904586792,0.02664928138256073,0.5140877030953813,20,7,0.14591119942690206,0.14654495876221899,0.11698466483032535,,,"{""11"": 0.030548, ""22"": 0.271385, ""33"": 0.07351}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_BD_best,yes,all present in the CSV,h2,L2,"{""11"": 0.03, ""22"": 0.01, ""33"": 0.01}",30,-0.17363888888888887,-0.21980193636184628,-0.12747584141593146,-0.21196027301319303,-0.1353175047645847,0.12322919569153203,0.09742742296195468,0.16773176255437514,0.0654023268673151,0.5307372696891616,yes,yes,1.862645149230957e-09,1.862645149230957e-09,1.4068804058518261e-08,0,30,-1.4501145292398796,,-1.409072646416866,,,"{""11"": -0.666971, ""22"": -1.163077, ""33"": -1.007285}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_BD_matched,yes,all present in the CSV,h2,L2,"{""11"": 0.03, ""22"": 0.01, ""33"": 0.01}",30,-0.03433333333333334,-0.07654434921111491,0.007877682544448227,-0.06937401288719425,0.000707346220527566,0.11267950927608616,0.08908663363239923,0.1533721987600277,0.05980321510310453,0.5307372696891616,no,no,0.5715881884098053,0.1954231858253479,0.10423111251045383,12,16,-0.2867287726988469,-0.4800322111592367,-0.30469899588584615,,,"{""11"": -0.012924, ""22"": -0.379385, ""33"": -0.189238}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
