status,quantity,scope,value,note
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds11|seed5,7.879129697841174e-46,b=81 c=373 discordant 454
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds11|seed6,0.13573207941367005,b=117 c=142 discordant 259
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds11|seed7,0.2545002933425908,b=83 c=68 discordant 151
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds11|seed8,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds11|seed9,0.1130777305920253,b=200 c=234 discordant 434
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds11|seed10,0.022154579078393938,b=199 c=155 discordant 354
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed1,1.2739654551217326e-06,b=129 c=220 discordant 349
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed2,2.5384555419447605e-13,b=130 c=277 discordant 407
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed3,0.0010098370416944476,b=127 c=79 discordant 206
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed4,1.0020048696700428e-08,b=209 c=107 discordant 316
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed5,6.5464452329375096e-43,b=152 c=493 discordant 645
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed6,2.9776979924364297e-16,b=217 c=423 discordant 640
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed7,0.01989186079812236,b=105 c=73 discordant 178
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed8,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed9,1.7243332883175793e-22,b=180 c=416 discordant 596
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds22|seed10,0.30067931738190534,b=128 c=111 discordant 239
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed1,3.6102576435621657e-07,b=208 c=116 discordant 324
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed2,0.004353765541014637,b=220 c=285 discordant 505
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed3,5.137475901049978e-16,b=233 c=89 discordant 322
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed4,2.1588746571642992e-08,b=220 c=117 discordant 337
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed5,0.7537986384660678,b=124 c=130 discordant 254
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed6,1.6330857577369375e-24,b=119 c=333 discordant 452
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed7,0.343090278924958,b=87 c=101 discordant 188
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed8,6.218291195546128e-14,b=278 c=485 discordant 763
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed9,1.4650049205888282e-14,b=130 c=286 discordant 416
complete contract grid,"McNemar p (exact, per seed)",h2|L2|delta_BD_matched|ds33|seed10,0.002837380472275282,b=154 c=212 discordant 366
complete contract grid,McNemar b/c (summed over seeds),h4|L1|delta_AB,b=5591 c=1334,supplementary: the paired reading of the same population as the binomial SE
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed1,2.3782766514017757e-43,b=227 c=23 discordant 250
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed2,4.042307058808692e-21,b=174 c=40 discordant 214
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed3,2.7266116219996362e-24,b=234 c=63 discordant 297
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed4,0.06401750413722565,b=41 c=25 discordant 66
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed5,1.9750718351680395e-26,b=211 c=46 discordant 257
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed6,8.610438503077151e-10,b=216 c=106 discordant 322
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed7,0.003171867790530157,b=89 c=53 discordant 142
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed8,1.0370418907511634e-126,b=574 c=35 discordant 609
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed9,1.4683180279114391e-09,b=131 c=50 discordant 181
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds11|seed10,6.928377941894815e-28,b=194 c=35 discordant 229
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed1,5.389097895749461e-16,b=162 c=47 discordant 209
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed2,1.3932285101509037e-11,b=72 c=12 discordant 84
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed3,2.5978547665788375e-12,b=137 c=44 discordant 181
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed4,3.471906938336878e-29,b=181 c=27 discordant 208
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed5,2.403002231061222e-08,b=106 c=39 discordant 145
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed6,3.538055305122546e-12,b=124 c=37 discordant 161
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed7,3.050112233998796e-36,b=239 c=39 discordant 278
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed8,1.073944664858011e-18,b=224 c=74 discordant 298
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed9,1.7395157962100723e-27,b=220 c=48 discordant 268
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds22|seed10,1.3129288311180871e-28,b=206 c=39 discordant 245
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed1,1.7704667363339305e-06,b=102 c=44 discordant 146
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed2,3.3965749656496885e-25,b=180 c=34 discordant 214
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed3,4.216413137979442e-21,b=293 c=107 discordant 400
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed4,1.4977681814745143e-17,b=135 c=29 discordant 164
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed5,1.1987559175109566e-12,b=96 c=21 discordant 117
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed6,8.55522853408329e-33,b=231 c=42 discordant 273
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed7,6.3698891811732735e-12,b=145 c=50 discordant 195
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed8,7.57622456179495e-30,b=207 c=37 discordant 244
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed9,1.0230842464249792e-30,b=239 c=50 discordant 289
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AB|ds33|seed10,5.691280499165253e-28,b=201 c=38 discordant 239
complete contract grid,McNemar b/c (summed over seeds),h4|L1|delta_AE,b=1907 c=1777,"MANDATORY for Delta_AE: sigma_Delta(A-E) is SMALLER than the binomial SE, so the CI over seeds narrows the uncertainty by itself (raport.tex 3.7)."
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed1,0.013999473719986937,b=52 c=29 discordant 81
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed2,0.5760121204363974,b=61 c=54 discordant 115
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed3,0.0017271703544025007,b=98 c=148 discordant 246
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed4,4.6756652446906635e-35,b=18 c=181 discordant 199
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed5,0.004609105461459271,b=32 c=60 discordant 92
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed6,3.382847731571005e-17,b=41 c=157 discordant 198
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed7,0.0005331282889111652,b=91 c=145 discordant 236
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed8,0.12839640292640084,b=35 c=50 discordant 85
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed9,0.00996632433799534,b=45 c=74 discordant 119
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds11|seed10,0.7750029828306251,b=53 c=57 discordant 110
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed1,0.0005483633140185855,b=113 c=66 discordant 179
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed2,3.1147468230931924e-15,b=65 c=4 discordant 69
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed3,0.04221061162240417,b=34 c=54 discordant 88
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed4,1.7760463940027238e-14,b=134 c=36 discordant 170
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed5,0.0036247809875379895,b=55 c=91 discordant 146
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed6,0.5726564757939475,b=60 c=53 discordant 113
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed7,0.15067520762630385,b=48 c=34 discordant 82
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed8,0.0001821658297558315,b=32 c=8 discordant 40
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed9,0.06650043529883942,b=106 c=80 discordant 186
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds22|seed10,8.963039363152348e-06,b=36 c=7 discordant 43
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed1,0.1370988057560341,b=59 c=43 discordant 102
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed2,0.07469253007976612,b=67 c=47 discordant 114
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed3,0.0013816410213383502,b=71 c=37 discordant 108
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed4,0.011118593448764544,b=71 c=43 discordant 114
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed5,0.000972760707951367,b=61 c=29 discordant 90
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed6,9.06079859652185e-05,b=62 c=25 discordant 87
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed7,0.7546517496104993,b=48 c=44 discordant 92
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed8,0.026735172855975448,b=77 c=51 discordant 128
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed9,1.8901080346392685e-12,b=129 c=39 discordant 168
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AE|ds33|seed10,0.021383189937144585,b=53 c=31 discordant 84
complete contract grid,McNemar b/c (summed over seeds),h4|L1|delta_AF,b=2107 c=1165,supplementary: the paired reading of the same population as the binomial SE
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed1,3.672857699355709e-28,b=167 c=23 discordant 190
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed2,0.07894069368148846,b=30 c=17 discordant 47
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed3,0.10478948242660333,b=34 c=21 discordant 55
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed4,0.860050065908581,b=15 c=17 discordant 32
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed5,2.743026013035991e-25,b=176 c=32 discordant 208
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed6,0.9021585000966994,b=34 c=32 discordant 66
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed7,1.6894416165193694e-35,b=15 c=174 discordant 189
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed8,2.1529063261734744e-22,b=182 c=41 discordant 223
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed9,0.0004985619576974187,b=41 c=80 discordant 121
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds11|seed10,0.7797679305530743,b=27 c=24 discordant 51
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed1,8.738435036825207e-14,b=152 c=48 discordant 200
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed2,9.029018960445001e-12,b=58 c=6 discordant 64
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed3,0.2897982154050607,b=60 c=48 discordant 108
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed4,0.21913114749778415,b=63 c=49 discordant 112
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed5,6.351657812298193e-07,b=111 c=48 discordant 159
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed6,0.054908817775760344,b=65 c=44 discordant 109
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed7,0.0003740220149449216,b=61 c=27 discordant 88
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed8,1.1008055578187737e-11,b=52 c=4 discordant 56
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed9,1.0535726728912245e-11,b=125 c=39 discordant 164
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds22|seed10,0.7449138782509728,b=78 c=73 discordant 151
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed1,0.39092745669950557,b=60 c=50 discordant 110
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed2,1.6168121721594925e-07,b=71 c=21 discordant 92
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed3,3.7231423277541645e-07,b=76 c=25 discordant 101
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed4,4.496432091968554e-05,b=67 c=27 discordant 94
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed5,0.00035795527161316536,b=49 c=19 discordant 68
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed6,0.016508822028535212,b=54 c=31 discordant 85
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed7,0.6908264239959597,b=53 c=48 discordant 101
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed8,0.02651683255068482,b=47 c=27 discordant 74
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed9,0.45054757600158946,b=39 c=47 discordant 86
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_AF|ds33|seed10,0.01033766119369546,b=45 c=23 discordant 68
complete contract grid,McNemar b/c (summed over seeds),h4|L1|delta_BD_matched,b=5155 c=4595,supplementary: the paired reading of the same population as the binomial SE
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed1,0.00019034059642154835,b=191 c=124 discordant 315
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed2,0.001508745950306453,b=128 c=185 discordant 313
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed3,0.07408058811844775,b=246 c=207 discordant 453
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed4,1.4865506967646094e-11,b=195 c=83 discordant 278
