estimand,status,n,estimate,ci95_low,ci95_high,sigma_delta,mde,above_mde,ci95_excludes_zero,n_positive,p_sign,p_wilcoxon,tost_equivalent,tost_power
Delta_A'B',EXPLORATORY,30,0.03277777777777779,0.02671159343024468,0.038843962125310896,0.016193277068654838,0.008594375658737979,True,True,29,5.774199962615967e-08,3.725290298461914e-09,False,0.999999223288898
Delta_B'D_corr,EXPLORATORY,30,-0.021944444444444444,-0.02868307828150695,-0.015205810607381938,0.017988336413175626,0.009547080554178959,True,True,2,1.6242265701293945e-06,9.909272193908691e-07,False,0.9999817203956874
Delta_A'D_corr,EXPLORATORY,30,0.010833333333333346,0.006769978037943667,0.014896688628723025,0.010846857654991797,0.005756831616517327,True,True,24,0.001430906355381012,1.5633180737495422e-05,True,0.9999999999999992
